,Date,Open,High,Low,Close,(High-Low),(Open-Close)
348,2021-06-08,14064.40,14207.30,13920.20,14189.85,287.10,-125.45
349,2021-06-07,14126.95,14151.20,14049.05,14069.00,102.15,57.95
350,2021-06-04,14150.25,14156.65,14050.45,14101.55,106.20,48.70
351,2021-06-03,14176.25,14206.95,14079.65,14114.40,127.30,61.85
352,2021-06-02,14058.10,14189.50,14052.25,14151.85,137.25,-93.75
353,2021-06-01,14086.05,14109.05,13939.45,14058.05,169.60,28.00
354,2021-05-31,14001.20,14074.75,13849.30,14051.75,225.45,-50.55
355,2021-05-28,14092.35,14098.40,13893.55,13934.10,204.85,158.25
356,2021-05-27,14157.10,14169.70,14022.75,14100.05,146.95,57.05
357,2021-05-26,14138.75,14228.60,14088.30,14127.25,140.30,11.50
358,2021-05-25,14120.90,14127.60,14025.95,14090.10,101.65,30.80
359,2021-05-24,14028.85,14171.40,14015.60,14034.65,155.80,-5.80
360,2021-05-21,14036.75,14085.65,13974.45,13993.70,111.20,43.05
361,2021-05-20,14025.35,14056.20,13903.10,13970.20,153.10,55.15
362,2021-05-19,13859.60,14039.10,13839.20,14001.35,199.90,-141.75
363,2021-05-18,13934.35,13995.35,13804.70,13832.40,190.65,101.95
364,2021-05-17,13921.30,13958.60,13741.25,13858.70,217.35,62.60
365,2021-05-14,14141.10,14252.35,13848.95,13885.50,403.40,255.60
366,2021-05-12,14135.10,14224.50,14000.10,14065.05,224.40,70.05
367,2021-05-11,14112.65,14282.90,14013.25,14066.65,269.65,46.00
368,2021-05-10,13965.50,14228.40,13861.45,14131.85,366.95,-166.35
369,2021-05-07,13799.25,13924.70,13718.65,13747.10,206.05,52.15
370,2021-05-06,13897.55,13960.80,13651.20,13747.75,309.60,149.80
371,2021-05-05,13293.00,13809.15,13210.50,13779.70,598.65,-486.70
372,2021-05-04,13573.85,13573.85,13200.70,13234.75,373.15,339.10
373,2021-05-03,13502.65,13580.50,13408.20,13507.45,172.30,-4.80
374,2021-04-30,13271.35,13619.55,13263.35,13469.25,356.20,-197.90
375,2021-04-29,13301.85,13401.50,13222.60,13298.65,178.90,3.20
376,2021-04-28,13347.65,13367.40,13227.20,13252.95,140.20,94.70
377,2021-04-27,13247.55,13310.65,13145.05,13296.75,165.60,-49.20
378,2021-04-26,13418.60,13418.60,13186.25,13203.85,232.35,214.75
379,2021-04-23,13373.10,13476.55,13169.00,13319.75,307.55,53.35
380,2021-04-22,13496.55,13633.40,13347.20,13378.95,286.20,117.60
381,2021-04-20,13426.05,13583.05,13324.25,13426.90,258.80,-0.85
382,2021-04-19,13233.20,13342.25,12999.80,13256.25,342.45,-23.05
383,2021-04-16,13016.45,13309.70,12892.00,13234.25,417.70,-217.80
384,2021-04-15,12914.65,13054.50,12798.60,12987.05,255.90,-72.40
385,2021-04-13,13155.00,13205.50,12733.00,12807.50,472.50,347.50
386,2021-04-12,13026.30,13301.60,12758.65,12961.85,542.95,64.45
387,2021-04-09,12603.60,13074.00,12582.60,12995.35,491.40,-391.75
388,2021-04-08,12630.15,12739.05,12592.75,12611.70,146.30,18.45
389,2021-04-07,12597.00,12695.10,12549.50,12616.35,145.60,-19.35
390,2021-04-06,12345.10,12562.10,12321.70,12548.60,240.40,-203.50
391,2021-04-05,12383.55,12383.55,12129.25,12331.50,254.30,52.05
392,2021-04-01,12319.00,12400.55,12273.60,12377.10,126.95,-58.10
393,2021-03-31,12231.05,12327.40,12191.90,12272.60,135.50,-41.55
394,2021-03-30,11989.10,12219.60,11958.00,12206.60,261.60,-217.50
395,2021-03-26,11887.90,11944.15,11765.70,11883.20,178.45,4.70
396,2021-03-25,11929.45,11986.35,11717.35,11816.80,269.00,112.65
397,2021-03-24,11874.00,12056.25,11850.90,11916.30,205.35,-42.30
398,2021-03-23,11869.10,11943.35,11811.30,11907.20,132.05,-38.10
399,2021-03-22,11685.10,11884.75,11669.05,11850.75,215.70,-165.65
400,2021-03-19,11466.70,11705.95,11280.80,11667.10,425.15,-200.40
401,2021-03-18,11830.95,11849.20,11466.95,11514.45,382.25,316.50
402,2021-03-17,12028.70,12032.50,11747.60,11787.50,284.90,241.20
403,2021-03-16,12059.20,12099.90,11953.25,12013.00,146.65,46.20
404,2021-03-15,12213.75,12215.15,11848.30,12024.50,366.85,189.25
405,2021-03-12,12365.80,12377.30,12148.55,12184.25,228.75,181.55
406,2021-03-10,12218.45,12335.90,12180.15,12313.25,155.75,-94.80
407,2021-03-09,12316.80,12333.25,12053.10,12133.85,280.15,182.95
408,2021-03-08,12224.30,12347.85,12202.30,12239.85,145.55,-15.55
409,2021-03-05,12320.80,12336.00,12150.45,12192.75,185.55,128.05
410,2021-03-04,12315.85,12447.30,12265.85,12351.75,181.45,-35.90
411,2021-03-03,12347.50,12399.15,12236.05,12379.60,163.10,-32.10
412,2021-03-02,12156.30,12273.95,12099.85,12257.30,174.10,-101.00
413,2021-03-01,12007.20,12126.40,11949.75,12092.70,176.65,-85.50
414,2021-02-26,12043.60,12322.10,11860.70,11927.90,461.40,115.70
415,2021-02-25,12097.35,12291.75,12058.20,12141.70,233.55,-44.35
416,2021-02-24,12101.30,12135.45,11916.80,12035.85,218.65,65.45
417,2021-02-23,12059.35,12122.35,11935.25,12029.50,187.10,29.85
418,2021-02-22,12365.80,12387.05,11950.45,12032.30,436.60,333.50
419,2021-02-19,12499.90,12545.70,12236.15,12347.40,309.55,152.50
420,2021-02-18,12593.50,12648.10,12491.05,12517.50,157.05,76.00
421,2021-02-17,12794.90,12837.10,12551.25,12584.35,285.85,210.55
422,2021-02-16,12789.05,12821.00,12695.15,12804.15,125.85,-15.10
423,2021-02-15,12817.95,12863.30,12723.40,12745.10,139.90,72.85
424,2021-02-12,13012.35,13013.75,12738.35,12785.75,275.40,226.60
425,2021-02-11,12833.65,12961.95,12807.60,12929.80,154.35,-96.15
426,2021-02-10,12842.70,12945.80,12689.40,12905.55,256.40,-62.85
