,Date,Open,High,Low,Close,(High-Low),(Open-Close)
189,2022-01-25,24062.95,24800.55,23857.90,24716.40,942.65,-653.45
190,2022-01-24,25098.95,25285.85,24231.00,24425.25,"1,054.85",673.70
191,2022-01-21,25113.60,25289.05,24774.50,25055.85,514.55,57.75
192,2022-01-20,25241.95,25339.65,25049.80,25270.10,289.85,-28.15
193,2022-01-19,25136.20,25330.10,24997.60,25293.95,332.50,-157.75
194,2022-01-18,25266.60,25418.90,24987.85,25054.95,431.05,211.65
195,2022-01-17,24891.35,25236.50,24875.85,25184.50,360.65,-293.15
196,2022-01-14,24754.45,24902.50,24652.25,24867.85,250.25,-113.40
197,2022-01-13,24629.90,24847.10,24505.55,24817.55,341.55,-187.65
198,2022-01-12,24211.00,24565.30,24118.90,24515.80,446.40,-304.80
199,2022-01-11,23777.50,24051.45,23706.00,24003.30,345.45,-225.80
200,2022-01-10,23647.25,23749.80,23517.80,23712.35,232.00,-65.10
201,2022-01-07,23477.10,23641.75,23379.00,23577.70,262.75,-100.60
202,2022-01-06,23419.00,23421.25,23148.00,23370.60,273.25,48.40
203,2022-01-05,23333.35,23548.25,23274.95,23518.00,273.30,-184.65
204,2022-01-04,22962.80,23417.25,22924.65,23370.35,492.60,-407.55
205,2022-01-03,22657.85,22892.75,22630.30,22849.25,262.45,-191.40
206,2021-12-31,22531.00,22692.85,22501.00,22631.95,191.85,-100.95
207,2021-12-30,22698.45,22726.05,22406.85,22485.40,319.20,213.05
208,2021-12-29,22770.20,22881.90,22657.70,22745.35,224.20,24.85
209,2021-12-28,22696.20,22854.30,22665.65,22816.60,188.65,-120.40
210,2021-12-27,22591.35,22640.60,22464.75,22561.45,175.85,29.90
211,2021-12-24,22907.95,22956.60,22514.25,22588.85,442.35,319.10
212,2021-12-23,22698.75,22910.40,22661.60,22869.65,248.80,-170.90
213,2021-12-22,22424.55,22616.60,22327.85,22580.30,288.75,-155.75
214,2021-12-21,22319.30,22487.70,22184.90,22325.70,302.80,-6.40
215,2021-12-20,22498.35,22540.85,21841.95,22070.45,698.90,427.90
216,2021-12-17,23124.85,23193.95,22663.30,22755.75,530.65,369.10
217,2021-12-16,23411.25,23412.00,23121.75,23175.15,290.25,236.10
218,2021-12-15,23385.95,23510.00,23138.45,23185.70,371.55,200.25
219,2021-12-14,23093.95,23398.45,23092.30,23361.40,306.15,-267.45
220,2021-12-13,23640.00,23804.00,23114.05,23177.35,689.95,462.65
221,2021-12-10,23340.15,23463.50,23285.80,23429.95,177.70,-89.80
222,2021-12-09,23450.35,23510.65,23325.30,23408.30,185.35,42.05
223,2021-12-08,23252.00,23464.25,23243.45,23362.80,220.80,-110.80
224,2021-12-07,23060.45,23238.95,23012.90,23172.50,226.05,-112.05
225,2021-12-06,23319.25,23354.20,22863.75,22900.50,490.45,418.75
